	rt	int	ion_annotation	run	run_name
48	2625.312	22.646607621197745	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
49	2628.726	42.057507540221195	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
50	2632.13899999998	66.32190074151367	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
51	2635.55299999998	131.02524307208796	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
52	2638.96600000002	58.23394572024654	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
53	2642.38000000002	71.17412417136393	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
54	2645.793	11.323320098540535	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
55	2649.207	42.05802677472548	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
56	2652.62200000002	37.20488420918855	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
57	2656.03600000002	42.05923213089591	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
58	2659.45000000002	63.08680229960828	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
59	2662.8630000000003	66.32246969735434	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
60	2666.2780000000203	77.64627123816581	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
61	2669.691	155.61596283033055	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
62	2673.105	111.9395471676853	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
63	2676.519	104.01225770477254	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
64	2679.9340000000198	155.61624583081084	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
65	2683.34800000002	139.1163812644436	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
